date,home_team_long_name,away_team_long_name
01/01/2018,Juventus,Real Madrid CF
01/02/2018,Real Madrid CF,Juventus
01/01/2018,Sevilla FC,FC Bayern Munich
01/02/2018,FC Bayern Munich,Sevilla FC
01/01/2018,Liverpool,Manchester City
01/02/2018,Manchester City,Liverpool
01/01/2018,FC Barcelona,Roma
01/02/2018,Roma,FC Barcelona
